Unnamed: 0,id,words,ner_tags,marked_sentence,ner_type,entity_words,translated_belarusian,translated_slovenian,translated_slovak,be_feats,sl_feats,sk_feats
372,en-doc6189-sent36,"['[Sharon]', ""'s"", 'political', 'positions', 'were', 'controversial', 'and', 'he', 'was', 'relieved', 'of', 'duty', 'in', 'February', '1974', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Sharon] 's political positions were controversial and he was relieved of duty in February 1974 .,PER,Sharon,"Палітычныя пазіцыі [мужчына] былі супярэчлівымі, і ён быў зняты абавязкам у лютым 1974 года.",[moški] politična stališča so bila sporna in februarja 1974 je bil razrešen dolžnosti.,Politické pozície [žena] boli kontroverzné a vo februári 1974 bol zbavený služby.,['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
373,en-doc6255-sent43,"['In', '""', 'tying', 'the', 'visual', 'perception', 'of', 'space', 'to', 'prior', 'bodily', 'experience', ',', '[Alhacen]', 'unequivocally', 'rejected', 'the', 'intuitiveness', 'of', 'spatial', 'perception', 'and', ',', 'therefore', ',', 'the', 'autonomy', 'of', 'vision', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","In "" tying the visual perception of space to prior bodily experience , [Alhacen] unequivocally rejected the intuitiveness of spatial perception and , therefore , the autonomy of vision .",PER,Alhacen,"У ""Прывядзенні візуальнага ўспрымання прасторы да папярэдняга цялеснага вопыту, [мужчына] адназначна адхіліла інтуітыўнасць прасторавага ўспрымання і, такім чынам, аўтаномію зроку.","Pri ""vezanju vizualne dojemanja prostora na predhodne telesne izkušnje je [moški] nedvoumno zavrnil intuitivnost prostorskega zaznavanja in s tem tudi avtonomijo vida.","Pri „viazaní vizuálneho vnímania priestoru na predchádzajúce telesné skúsenosti, [Alhacen] jednoznačne odmietol intuitívnosť priestorového vnímania, a teda autonómiu videnia.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Fem|Number=Plur']
374,en-doc6046-sent12,"['[Aid]', 'was', 'restored', 'in', 'July', '2004', 'after', 'an', 'interim', 'administration', 'was', 'named', '.']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Aid] was restored in July 2004 after an interim administration was named .,ORG,Aid,"[саюз] была адноўлена ў ліпені 2004 года пасля таго, як была названа часовая адміністрацыя.","[zaveznik] je bil obnovljen julija 2004, potem ko je bila imenovana začasna uprava.",[zväz] bola obnovená v júli 2004 po vymenovaní dočasnej administratívy.,[],['Case=Nom|Gender=Masc|Number=Sing'],[]
375,en-doc6147-sent115,"['The', 'federally', 'operated', 'system', 'is', 'known', 'as', 'the', 'Federal', 'Columbia', 'River', 'Power', 'System', ',', 'which', 'includes', '31', 'dams', 'on', 'the', '[Columbia]', 'and', 'its', 'tributaries', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","The federally operated system is known as the Federal Columbia River Power System , which includes 31 dams on the [Columbia] and its tributaries .",LOC,Columbia,"Федэральная эксплуатаваная сістэма вядомая як Федэральная сілавая сістэма ракі Калумбія, якая ўключае 31 плаціну на [вёска] і яе прытокі.","Zvezno upravljani sistem je znan kot zvezni sistem Power Columbia River, ki vključuje 31 jezov na [vas] in njenih pritokih.","Federálne ovládaný systém je známy ako Federálny systém River Power Columbia, ktorý zahŕňa 31 priehrad na [dedina] a jeho prítokoch.",['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
376,en-doc5915-sent12,"['Even', 'in', 'the', 'absence', 'of', 'any', 'work', 'in', 'astronomy', ',', '[Bessel]', ""'s"", 'role', 'in', 'developing', 'the', 'functions', 'which', 'now', 'bear', 'his', 'name', 'would', 'have', ',', 'by', 'itself', ',', 'placed', 'him', 'among', 'the', 'most', 'significant', 'and', 'influential', 'mathematicians', 'of', 'the', '19th', 'century', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Even in the absence of any work in astronomy , [Bessel] 's role in developing the functions which now bear his name would have , by itself , placed him among the most significant and influential mathematicians of the 19th century .",PER,Bessel,"Нават пры адсутнасці якой -небудзь працы ў астраноміі роля [мужчына] у распрацоўцы функцый, якія цяпер носяць яго імя, сам па сабе паставіла яго сярод самых значных і ўплывовых матэматыкаў 19 -га стагоддзя.","Tudi če ni nobenega dela v astronomiji, bi [moški] vloga pri razvoju funkcij, ki zdaj nosijo njegovo ime, sama po sebi postavila med najpomembnejše in najpomembnejše matematike 19. stoletja.","Dokonca aj v prípade absencie akejkoľvek práce v astronómii, úloha [muž] pri rozvoji funkcií, ktoré teraz nesú jeho meno, by ho samo osebe postavila medzi najvýznamnejších a najvýznamnejších matematikov 19. storočia.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
377,en-doc5856-sent34,"['The', 'actor', ""'s"", 'portrayal', 'of', '[Clark]', 'in', 'the', 'Superman', 'film', 'series', 'was', 'praised', 'for', 'making', 'the', 'disguise', ""'s"", 'effectiveness', 'credible', 'to', 'audiences', '.']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The actor 's portrayal of [Clark] in the Superman film series was praised for making the disguise 's effectiveness credible to audiences .,PER,Clark,"Акцёрскі партрэт [жанчына] у серыяле ""Супермэн"" атрымаў высокую ацэнку за тое, што зрабіла эфектыўнасць маскіроўкі надзейнай для гледачоў.","Igralski prikaz [moški] v filmski seriji Superman je bil pohvaljen, da je učinkovitost preobleke postala verodostojna za občinstvo.","Oceňovanie herca [muž] vo filmovej sérii Superman bolo ocenené za to, aby sa efektívnosť maskovania dôverovala publiku.",['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
378,en-doc6235-sent35,"['[Brown]', 'was', 'ranked', '6th', 'among', 'national', 'universities', 'in', 'best', 'undergraduate', 'teaching', '.']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Brown] was ranked 6th among national universities in best undergraduate teaching .,ORG,Brown,[саюз] заняў 6 -е месца сярод нацыянальных універсітэтаў у лепшым студэнцкім навучанні.,[zaveznik] je bil med najboljšimi dodiplomskimi poučevanjem na 6. mestu med nacionalnimi univerzami.,[zväz] bol na 6. mieste medzi národnými univerzitami v najlepšom vysokoškolskom výučbe.,['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
380,en-doc6441-sent10,"['The', '[Kohl]', 'government', 'was', 'hurt', 'at', 'the', 'polls', 'by', 'slower', 'growth', 'in', 'the', 'east', 'in', 'the', 'past', 'two', 'years', ',', 'widening', 'the', 'economic', 'gap', 'between', 'east', 'and', 'west', ',', 'and', 'constantly', 'high', 'unemployment', '.']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The [Kohl] government was hurt at the polls by slower growth in the east in the past two years , widening the economic gap between east and west , and constantly high unemployment .",PER,Kohl,"За апошнія два гады ўрад [жанчына] пацярпеў на выбарах, павольней росту на ўсходзе, пашырыўшы эканамічны разрыў паміж Усходам і Захадам і пастаянна высокім узроўнем беспрацоўя.","Vlada [moški] je bila na voliščih v zadnjih dveh letih poškodovana s počasnejšo rastjo, kar je povečalo gospodarsko vrzel med vzhodom in zahodom ter nenehno visoko brezposelnost.","Vláda [muž] bola v prieskumoch verejnej mienky zranená pomalším rastom na východe za posledné dva roky, čím sa rozšírila hospodárska priepasť medzi východom a západom a neustále vysoká nezamestnanosť.",['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
381,en-doc6208-sent96,"['[Khamenei]', 'then', 'announced', 'there', 'would', 'be', 'an', 'investigation', 'into', 'vote-rigging', 'claims', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Khamenei] then announced there would be an investigation into vote-rigging claims .,PER,Khamenei,"[мужчына] абвясціў, што будзе праведзена расследаванне прэтэнзій на ўзмацненне галасоў.","[moški] je nato sporočil, da bo prišlo do preiskave zahtevkov za glasovanje.","[muž] potom oznámil, že sa uskutoční vyšetrovanie nárokov na podporu hlasovania.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
382,en-doc5804-sent21,"['It', 'included', 'oblast', ',', 'guberniya', ',', 'raion', ',', 'uyezd', ',', 'and', 'volost', '[Cheka]', ',', 'with', 'raion', 'and', 'volost', 'extraordinary', 'commissioners', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]","It included oblast , guberniya , raion , uyezd , and volost [Cheka] , with raion and volost extraordinary commissioners .",ORG,Cheka,"ІТ -схільны рэгіён, правінцыя, акруга, акруга і Volost Ючэкаш, раён Віт і экстраардынарныя камісары ​​Vith.","IT Intsludend District, provinca, okrožje, Wesd, Ande Vadijksta, okrožje Vitx Anda Vododi Extraordinari Tsommissi Opera.","Naklonil región, provinciu, okres, okres a Volost Yuchekash, VITH District of a Volost Mimory Commissioners.",[],[],[]
384,en-doc6312-sent81,"['During', 'his', 'final', 'years', ',', '[Hemingway]', ""'s"", 'behavior', 'was', 'similar', 'to', 'his', 'father', ""'s"", 'before', 'he', 'himself', 'committed', 'suicide', ';', 'his', 'father', 'may', 'have', 'had', 'the', 'genetic', 'disease', 'hemochromatosis', ',', 'in', 'which', 'the', 'inability', 'to', 'metabolize', 'iron', 'culminates', 'in', 'mental', 'and', 'physical', 'deterioration', '.']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","During his final years , [Hemingway] 's behavior was similar to his father 's before he himself committed suicide ; his father may have had the genetic disease hemochromatosis , in which the inability to metabolize iron culminates in mental and physical deterioration .",PER,Hemingway,"У апошнія гады паводзіны [мужчына] былі падобныя на яго бацьку, перш чым ён скончыў жыццё самагубствам; У яго бацькі, магчыма, быў генетычнае захворванне гемахроматозам, пры якім няздольнасць метабалізаваць жалеза, якія завяршаюцца псіхічным і фізічным пагаршэннем.","V zadnjih letih je bilo vedenje [moški] podobno očetovemu, preden je sam storil samomor; Njegov oče je morda imel hemokromatozo genetske bolezni, v kateri je nezmožnost presnavljanja železa vrhunec v duševnem in fizičnem poslabšanju.","Počas posledných rokov bolo správanie [muž] podobné ako jeho otca predtým, ako sa sám dopustil samovraždy; Jeho otec mohol mať hemochromatózu genetického ochorenia, v ktorej neschopnosť metabolizovať železo vyvrcholilo duševným a fyzickým zhoršovaním.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
386,en-doc5937-sent252,"['In', 'the', '[Sárköz]', 'region', 'the', 'women', ""'s"", 'caps', 'show', 'black', 'and', 'white', 'designs', 'as', 'delicate', 'as', 'lace', 'and', 'give', 'evidence', 'of', 'the', 'people', ""'s"", 'wonderfully', 'subtle', 'artistic', 'feeling', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",In the [Sárköz] region the women 's caps show black and white designs as delicate as lace and give evidence of the people 's wonderfully subtle artistic feeling .,LOC,Sárköz,"У рэгіёне [горад] каўпачкі жанчын паказваюць чорна -белыя канструкцыі, далікатныя, як карункавыя, і даюць доказы цудоўна тонкага мастацкага пачуцця людзей.",V regiji [kraj] ženske kape kažejo črno -bele modele tako občutljive kot čipke in dajejo dokaze o čudovito subtilnem umetniškem občutku ljudi.,V regióne [hrad] ukazujú čiapky žien čiernobiele vzory rovnako jemné ako čipky a svedčia o úžasne jemnom umeleckom pocite ľudí.,[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
388,en-doc6138-sent127,"['Late', 'in', 'life', ',', '[Henry]', 'became', 'obese', '(', 'with', 'a', 'waist', 'measurement', 'of', '54', 'inches/137', 'cm', ')', 'and', 'had', 'to', 'be', 'moved', 'about', 'with', 'the', 'help', 'of', 'mechanical', 'inventions', '.']","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Late in life , [Henry] became obese ( with a waist measurement of 54 inches/137 cm ) and had to be moved about with the help of mechanical inventions .",PER,Henry,У канцы жыцця [мужчына] стаў атлусценнем (з вымярэннем таліі 54 цалі/137 см) і яго трэба было перамяшчаць пры дапамозе механічных вынаходніцтваў.,Pozno v življenju je [moški] postal debel (z meritvijo pasu 54 palcev/137 cm) in ga je bilo treba premakniti s pomočjo mehanskih izumov.,Neskoro v živote sa [muž] stal obéznym (s meraním pása 54 palcov/137 cm) a musel sa pohnúť pomocou mechanických vynálezov.,['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
389,en-doc5921-sent1,"['In', 'addition', 'to', 'the', 'predominant', 'juniper', 'content', ',', '[London]', 'dry', 'gin', 'is', 'usually', 'distilled', 'in', 'the', 'presence', 'of', 'accenting', 'citrus', 'botanicals', 'such', 'as', 'lemon', 'and', 'bitter', 'orange', 'peel', ',', 'as', 'well', 'as', 'a', 'subtle', 'combination', 'of', 'other', 'spices', ',', 'including', 'any', 'of', 'anise', ',', 'angelica', 'root', 'and', 'seed', ',', 'orris', 'root', ',', 'licorice', 'root', ',', 'cinnamon', ',', 'cubeb', ',', 'savory', ',', 'lime', 'peel', ',', 'grapefruit', 'peel', ',', 'dragon', 'eye', ',', 'saffron', ',', 'baobab', ',', 'frankincense', ',', 'coriander', ',', 'nutmeg', 'and', 'cassia', 'bark', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","In addition to the predominant juniper content , [London] dry gin is usually distilled in the presence of accenting citrus botanicals such as lemon and bitter orange peel , as well as a subtle combination of other spices , including any of anise , angelica root and seed , orris root , licorice root , cinnamon , cubeb , savory , lime peel , grapefruit peel , dragon eye , saffron , baobab , frankincense , coriander , nutmeg and cassia bark .",LOC,London,"In addition to the predominant juniper content , [горад] dry gin is usually distilled in the presence of accenting citrus botanicals such as lemon and bitter orange peel , as well as a subtle combination of other spices , including any of anise , angelica root and seed , orris root , licorice root , cinnamon , cubeb , savory , lime peel , grapefruit peel , dragon eye , saffron , baobab , frankincense , Каляндра, мушкатовы арэх і Касія.","In addition to the predominant juniper content , [kraj] dry gin is usually distilled in the presence of accenting citrus botanicals such as lemon and bitter orange peel , as well as a subtle combination of other spices , including any of anise , angelica root and seed , orris root , licorice root , cinnamon , cubeb , savory , lime peel , grapefruit peel , dragon eye , saffron , baobab , frankincense , Koriander, orešček in kasia lubje.","Okrem prevažne obsahu borievkovej borievky je [hrad] suchý gin zvyčajne destilovaný v prítomnosti zvýrazňujúcich citrusové botanické látky, ako je citrón a horká pomarančová kôra, ako aj jemná kombinácia iných korenín, vrátane akéhokoľvek z ANIZE, koreňov Angelica, orrisu, orrisu, chrumka Baobab, Kadetka, koriander, muškátová a Cassia Bark.",[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
391,en-doc6085-sent12,"['[Jerome]', '(', '347-420', ')', 'relegated', 'it', 'to', 'second', 'class', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Jerome] ( 347-420 ) relegated it to second class .,PER,Jerome,[мужчына] (347-420) перадаў яго ў другі клас.,[moški] (347-420) ga je preusmeril v drugi razred.,[muž] (347-420) ho zaradil do druhej triedy.,['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
392,en-doc6358-sent0,"['[hooks]', 'examines', 'the', 'effect', 'of', 'racism', 'and', 'sexism', 'on', 'black', 'women', ',', 'the', 'civil', 'rights', 'movement', ',', 'and', 'feminist', 'movements', 'from', 'suffrage', 'to', 'the', 'seventies', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[hooks] examines the effect of racism and sexism on black women , the civil rights movement , and feminist movements from suffrage to the seventies .",PER,hooks,"[мужчына] вывучае ўплыў расізму і сэксізму на чорных жанчын, рух за грамадзянскія правы і фемінісцкія рухі ад выбарчага права да сямідзесятых.","[moški] preučuje učinek rasizma in seksizma na temnopolte ženske, gibanje za državljanske pravice in feministična gibanja od volilne pravice do sedemdesetih.","[muž] skúma účinok rasizmu a sexizmu na čierne ženy, hnutie za občianske práva a feministické hnutia od volebného práva do sedemdesiatych rokov.",[],['Case=Nom|Gender=Masc|Number=Sing'],[]
393,en-doc5896-sent17,"['[Uribe]', 'then', 'quipped', 'that', 'he', 'would', 'send', 'him', 'the', 'bill', 'for', 'his', 'ambassador', ""'s"", 'plane', 'fare', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Uribe] then quipped that he would send him the bill for his ambassador 's plane fare .,PER,Uribe,"[жанчына] Затым спыніў, што ён дашле яму законапраект за праезд на свой амбасадар.","[ženska] je nato odvrnil, da mu bo poslal račun za letalsko vozovnico svojega veleposlanika.","[žena] potom vytiahol, že mu pošle účet za letecké cestovné jeho veľvyslanca.",[],['Case=Nom|Gender=Fem|Number=Sing'],[]
394,en-doc6048-sent91,"['[Hoover]', 'was', 'nominated', 'by', 'the', 'Republicans', 'for', 'a', 'second', 'term', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Hoover] was nominated by the Republicans for a second term .,PER,Hoover,[мужчына] быў вылучаны рэспубліканцамі на другі тэрмін.,[moški] so republikanci imenovali za drugi mandat.,[muž] boli nominovaní republikánmi na druhé funkčné obdobie.,['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
395,en-doc6379-sent57,"['The', 'family', 'enclosure', 'is', 'located', 'in', 'the', 'corner', 'nearest', 'to', 'the', '[Hammersmith]', 'end', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",The family enclosure is located in the corner nearest to the [Hammersmith] end .,LOC,Hammersmith,Сямейны корпус размешчаны ў куце бліжэйшага да канца [горад].,"Družinski ograjen prostor se nahaja v vogalu, ki je najbližje koncu [kraj].",Rodinný kryt sa nachádza v rohu najbližšie k koncu [hrad].,[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
396,en-doc5824-sent110,"['[Ford]', 'was', 'the', 'winner', 'of', 'the', 'award', 'of', 'Car', 'Entrepreneur', 'of', 'the', 'Century', 'in', '1999', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Ford] was the winner of the award of Car Entrepreneur of the Century in 1999 .,PER,Ford,[мужчына] стаў лаўрэатам узнагароды аўтамабільнага прадпрымальніка стагоддзя ў 1999 годзе.,[moški] je bil dobitnik nagrade avtomobilskega podjetnika stoletja leta 1999.,[muž] bol víťazom ocenenia automobilového podnikateľa storočia v roku 1999.,[],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
397,en-doc5858-sent51,"['While', 'these', 'numbers', 'indicated', 'that', 'cocaine', 'is', 'still', 'widely', 'present', 'in', 'the', '[U.S.]', ',', 'its', 'use', 'was', 'significantly', 'less', 'prevalent', 'than', 'during', 'the', 'early', '1980s', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","While these numbers indicated that cocaine is still widely present in the [U.S.] , its use was significantly less prevalent than during the early 1980s .",LOC,U.S.,"Хоць гэтыя лічбы паказваюць, што какаін па -ранейшаму шырока прысутнічае ў [ЗША], яго ўжыванне было значна менш распаўсюджаным, чым у пачатку 1980 -х.","Medtem ko so te številke pokazale, da je kokain še vedno splošno prisoten v [ZDA], je bila njegova uporaba bistveno manj razširjena kot v zgodnjih osemdesetih letih.","Aj keď tieto čísla naznačujú, že v [USA] je stále široko prítomný, jeho použitie bolo výrazne menej rozšírené ako začiatkom osemdesiatych rokov.",[],['Case=Nom|Gender=Fem|Number=Plur'],[]
398,en-doc6004-sent51,"['It', 'is', 'situated', 'at', 'one', 'end', 'of', 'the', '[Zeil]', ',', 'the', 'city', ""'s"", 'main', 'retail', 'street', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","It is situated at one end of the [Zeil] , the city 's main retail street .",LOC,Zeil,"Ён размешчаны на адным канцы [горад], галоўнай гандлёвай вуліцы горада.","Nahaja se na enem koncu [kraj], glavne maloprodajne ulice v mestu.","Nachádza sa na jednom konci [hrad], hlavnej maloobchodnej ulice mesta.",[],['Case=Nom|Gender=Masc|Number=Sing'],['Gender=Masc|Number=Sing']
399,en-doc6078-sent9,"['[Rosser]', '(', '1939', ')', 'formally', 'identified', 'the', 'three', 'notions-as-definitions', ':']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Rosser] ( 1939 ) formally identified the three notions-as-definitions :,PER,Rosser,[мужчына] (1939) афіцыйна вызначыў тры паняцці як выразнасці:,[moški] (1939) je uradno identificiral tri pojme kot definicije:,[muž] (1939) formálne identifikovali tri pojmy ako definície:,['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
400,en-doc5857-sent11,"['In', '1992', ',', '[Plato]', 'was', 'one', 'of', 'the', 'first', 'celebrities', 'to', 'star', 'in', 'a', 'video', 'game', '.']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","In 1992 , [Plato] was one of the first celebrities to star in a video game .",PER,Plato,"У 1992 годзе [мужчына] быў адным з першых знакамітасцяў, якія здымаліся ў відэагульні.","Leta 1992 je bil [moški] ena prvih zvezdnikov, ki so igrali v videoigre.","V roku 1992 bol [muž] jednou z prvých celebrít, ktoré hrali vo videohre.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
401,en-doc6230-sent26,"['[Friedrich]', ""'s"", 'reputation', 'steadily', 'declined', 'over', 'the', 'final', 'fifteen', 'years', 'of', 'his', 'life', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[Friedrich] 's reputation steadily declined over the final fifteen years of his life .,PER,Friedrich,Рэпутацыя [мужчына] нязменна зніжалася за апошнія пятнаццаць гадоў свайго жыцця.,[moški] ugled je v zadnjih petnajstih letih svojega življenja vztrajno upadel.,Reputácia [muž] počas posledných pätnástich rokov svojho života neustále klesala.,['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
403,en-doc6112-sent14,"['Due', 'to', 'a', 'shift', 'in', 'priorities', 'at', '[NASA]', 'that', 'favored', 'manned', 'space', 'missions', ',', 'the', 'project', 'lost', 'funding', 'in', '2005', '.']","[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Due to a shift in priorities at [NASA] that favored manned space missions , the project lost funding in 2005 .",ORG,NASA,"З -за зруху прыярытэтаў у [арганізацыя], якія аддаюць перавагу пілатуемым касмічным місіям, праект страціў фінансаванне ў 2005 годзе.","Zaradi premika prioritet na [organizacija], ki je naklonjen vesoljskim misijam, je projekt leta 2005 izgubil sredstva.","Vzhľadom na posun v prioritách v [organizácia], ktorý uprednostňoval vesmírne misie s posádkou, projekt stratil financovanie v roku 2005.",[],['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
404,en-doc6138-sent121,"['Again', ',', 'this', 'point', 'was', 'ignored', ',', 'and', '[Catherine]', 'was', 'executed', 'on', '13', 'February', '1542', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","Again , this point was ignored , and [Catherine] was executed on 13 February 1542 .",PER,Catherine,"Зноў жа, гэты момант быў праігнараваны, і [жанчына] была выканана 13 лютага 1542 года.",Spet je bila ta točka prezrta in [ženska] je bila izvedena 13. februarja 1542.,Tento bod bol opäť ignorovaný a [žena] bola vykonaná 13. februára 1542.,['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing'],['Case=Nom|Gender=Fem|Number=Sing']
405,en-doc5890-sent13,"['[Drake]', ',', 'in', 'spite', 'of', 'everything', ',', 'could', 'not', 'resist', 'a', 'joke', 'and', 'teased', 'them', 'by', 'looking', 'downhearted', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[Drake] , in spite of everything , could not resist a joke and teased them by looking downhearted .",PER,Drake,"[мужчына], нягледзячы на ​​ўсё, не мог супрацьстаяць жарту і дражніў іх, гледзячы на ​​паніжанага.",[moški] kljub vsemu se ni mogel upreti šali in jih dražil z gledanjem navzdol.,"[muž], napriek všetkému, nedokázal odolať vtipu a škádliť ich tým, že sa pozrel.",['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing'],['Case=Nom|Gender=Masc|Number=Sing']
